17 2 1974 8 -33 1 31.93 
9 -8 1979 7 -35 0 31.91 
5 -10 1976 6 -34 1 31.92 
16 -3 1983 6 -34 0 31.93 
14 -9 1985 6 -34 0 31.94 
8 -10 1982 7 -34 1 31.94 
16 -6 1973 6 -35 0 31.94 
5 -9 1982 6 -34 1 31.92 
8 -11 1978 6 -34 1 31.93 
3 -8 1980 6 -34 0 31.94 
6 -10 1977 6 -34 0 31.92 
1 -15 1979 8 -34 0 31.92 
14 -6 1983 8 -35 -1 31.93 
9 -13 1984 6 -34 0 31.94 
15 -8 1981 8 -36 -1 31.89 
13 -11 1979 6 -35 1 31.94 
15 -9 1977 6 -35 0 31.93 
12 -15 1977 5 -34 0 31.91 
2 -9 1980 5 -34 1 31.9 
15 -2 1984 7 -35 1 31.93 
16 -6 1980 8 -34 0 31.92 
8 -7 1976 8 -33 0 31.94 
17 -5 1987 8 -33 0 31.94 
19 -11 1984 6 -34 0 31.94 
0 -7 1973 7 -35 0 31.92 
12 -9 1981 5 -35 0 31.91 
16 -8 1977 7 -35 0 31.94 
-2 -13 1979 6 -36 1 31.92 
12 -7 1977 7 -34 1 31.92 
17 -11 1979 7 -33 0 31.92 
12 -15 1966 8 -34 0 31.9 
3 -9 1983 6 -35 0 31.93 
7 -10 1969 7 -35 0 31.93 
17 -3 1985 6 -35 1 31.92 
18 -7 1982 7 -34 -1 31.94 
15 -10 1974 8 -33 1 31.92 
9 -8 1969 7 -33 0 31.93 
11 -13 1980 5 -34 1 31.91 
12 -9 1976 7 -34 0 31.91 
8 -9 1980 8 -32 1 31.91 
15 -9 1990 7 -35 1 31.93 
14 -9 1982 7 -35 0 31.92 
6 -2 1980 7 -34 0 31.92 
5 -11 1982 5 -33 0 31.92 
3 -3 1979 7 -33 0 31.92 
11 -15 1978 7 -34 0 31.94 
17 -2 1983 8 -34 0 31.94 
8 -5 1987 7 -36 1 31.93 
4 -11 1979 6 -34 0 31.93 
20 -7 1981 7 -34 1 31.94 
19 -7 1978 9 -34 0 31.96 
6 -14 1983 6 -33 1 31.94 
7 -8 1982 5 -33 0 31.92 
-3 -7 1982 7 -35 1 31.94 
17 -6 1987 6 -35 0 31.94 
8 -11 1990 4 -35 0 31.94 
7 -8 1981 6 -35 1 31.93 
9 -4 1983 6 -36 0 31.92 
14 -8 1980 7 -34 0 31.93 
13 -7 1977 6 -34 -1 31.93 
1 -12 1988 7 -34 0 31.92 
23 -8 1979 7 -34 1 31.91 
17 -6 1973 7 -33 0 31.92 
11 -10 1981 8 -33 0 31.93 
14 -6 1980 7 -33 1 31.93 
10 -11 1982 5 -36 0 31.93 
4 -9 1974 4 -37 0 31.94 
1 -9 1977 6 -35 0 31.93 
21 -2 1979 7 -35 0 31.91 
19 -6 1981 9 -33 -1 31.92 
15 -8 1991 9 -32 -1 31.92 
2 -10 1977 9 -32 -1 31.93 
4 -8 1978 7 -34 0 31.92 
8 -4 1982 4 -36 0 31.93 
20 -5 1977 3 -37 1 31.92 
21 -7 1981 5 -36 0 31.94 
13 -10 1977 6 -33 1 31.93 
5 -10 1980 7 -33 -1 31.93 
10 -7 1980 7 -33 0 31.93 
8 -14 1985 7 -33 0 31.94 
18 -6 1980 5 -35 0 31.92 
11 -5 1971 6 -36 0 31.92 
13 -9 1979 5 -35 0 31.93 
13 -8 1974 6 -34 1 31.93 
5 -11 1974 7 -34 0 31.92 
13 -6 1982 7 -34 0 31.91 
6 -4 1984 9 -33 1 31.91 
6 -6 1984 7 -34 0 31.91 
17 -4 1985 5 -34 -1 31.92 
-2 -12 1980 3 -36 0 31.9 
2 -11 1976 5 -36 0 31.93 
13 -13 1974 6 -36 1 31.91 
12 -7 1974 8 -33 0 31.91 
4 -6 1976 10 -31 1 31.94 
-1 -8 1978 10 -31 -1 31.94 
4 0 1982 9 -31 0 31.94 
15 -1 1981 7 -34 0 31.96 
12 -8 1986 3 -36 1 31.96 
8 -14 1979 2 -37 1 31.94 
15 -7 1973 2 -37 0 31.93 
8 -16 1972 5 -35 1 31.93 
21 -11 1969 7 -34 1 31.9 
2 -13 1969 9 -31 0 31.92 
0 -11 1979 11 -30 0 31.95 
11 -5 1975 9 -31 -1 31.92 
1 -14 1986 7 -34 1 31.92 
6 -9 1980 6 -36 1 31.93 
9 -6 1976 4 -36 0 31.92 
8 -11 1978 3 -37 0 31.92 
5 -15 1980 3 -37 0 31.93 
9 -10 1983 6 -36 1 31.93 
6 -8 1979 7 -33 0 31.95 
19 -6 1978 8 -31 0 31.95 
13 -6 1986 10 -32 -1 31.94 
14 -10 1983 9 -32 0 31.95 
17 -5 1985 7 -34 0 31.94 
3 -15 1978 5 -35 0 31.92 
15 -8 1975 4 -37 0 31.94 
22 -6 1971 4 -37 0 31.96 
1 -15 1971 5 -36 1 31.94 
11 -8 1973 6 -35 0 31.94 
10 -6 1974 9 -34 1 31.93 
13 -6 1976 8 -31 0 31.94 
-1 -10 1982 9 -31 -1 31.92 
9 -12 1984 7 -32 0 31.92 
9 -5 1979 6 -34 0 31.93 
8 -9 1983 5 -36 0 31.94 
2 -10 1971 5 -36 0 31.93 
6 -8 1972 4 -37 1 31.92 
9 -11 1963 5 -36 0 31.93 
14 -8 1958 4 -38 0 31.92 
35 -32 2012 12 -28 0 31.94 
-2 1 1995 40 -5 -1 31.94 
-8 5 1967 5 -35 0 31.95 
9 -24 2002 -2 -40 2 31.94 
6 -8 1970 2 -37 0 31.92 
7 -13 1985 -8 -49 0 31.95 
16 -18 1974 1 -38 -1 31.94 
-2 -13 1961 12 -28 -2 31.92 
5 -17 1973 13 -28 1 31.91 
-5 -14 1985 19 -23 0 31.95 
2 -8 1972 8 -31 0 31.92 
11 -14 1993 2 -37 1 31.93 
6 3 1981 8 -34 0 31.93 
6 -5 1980 -1 -40 0 31.93 
8 -12 1980 5 -35 1 31.92 
3 -11 1971 7 -33 0 31.94 
10 -18 1978 7 -33 0 31.92 
8 -13 1980 10 -32 0 31.92 
6 -8 1973 7 -33 0 31.93 
15 -5 1974 6 -35 1 31.9 
13 -4 1981 4 -37 0 31.92 
10 -12 1985 5 -35 -1 31.91 
19 -2 1973 4 -36 1 31.91 
8 -9 1975 5 -34 0 31.92 
12 -10 1978 9 -31 0 31.93 
11 -7 1982 10 -31 0 31.93 
1 -9 1975 10 -32 0 31.91 
4 -5 1986 8 -32 -1 31.92 
11 -5 1984 6 -36 1 31.94 
5 -15 1980 4 -38 0 31.92 
4 -9 1980 6 -37 0 31.93 
9 -10 1981 5 -37 1 31.93 
16 -8 1980 4 -36 0 31.93 
17 -9 1979 6 -35 -1 31.93 
3 -14 1978 7 -34 1 31.92 
17 -3 1977 7 -35 1 31.91 
12 -6 1982 6 -36 0 31.91 
4 -3 1988 -4 -45 0 31.94 
14 -3 1982 -16 -57 0 31.93 
7 -13 1962 -17 -55 0 31.92 
22 -12 1967 -9 -50 0 31.92 
20 -17 1967 6 -35 0 31.94 
10 -16 1975 16 -25 0 31.95 
8 -8 1979 17 -23 0 31.95 
11 -5 1977 19 -22 0 31.93 
7 -10 1983 19 -23 1 31.93 
12 -10 1981 14 -27 1 31.92 
8 -6 1987 9 -31 1 31.93 
10 -10 1977 6 -34 0 31.94 
6 -15 1971 7 -34 0 31.95 
6 -10 1981 8 -32 -1 31.94 
4 -8 1973 9 -33 0 31.91 
13 -11 1972 10 -31 1 31.93 
9 -6 1982 10 -30 1 31.94 
13 -5 1984 11 -29 1 31.94 
10 -4 1975 11 -29 0 31.96 
8 -4 1985 5 -34 1 31.96 
10 -9 1975 0 -40 1 31.92 
12 -11 1978 -2 -42 1 31.92 
